number_of_stations,shinkansen_line,prefecture,avg_distance_from_tokyo_st,company,latitude,longitude
4,Tokaido; Tohoku,Tokyo (東京都),2.6,JR_Central; JR_East,35.689440000000005,139.69167
2,Tokaido,Kanagawa (神奈川県),56.35,JR_Central,35.44778,139.6425
6,Tokaido,Shizuoka (静岡県),173.016666666667,JR_Central,34.97694,138.38306
3,Tokaido,Aichi (愛知県),321.966666666667,JR_Central,35.18028,136.90667
1,Tokaido,Gifu (岐阜県),396.3,JR_Central,35.39111,136.72222
1,Tokaido,Shiga (滋賀県),445.9,JR_Central,35.00444,135.86833
1,Tokaido,Kyoto (京都府),513.6,JR_Central,35.021390000000004,135.75556
1,Tokaido-Sanyo,Osaka (大阪府),552.6,JR_Central,34.68639,135.52
4,Sanyo,Hyogo (兵庫県),627.775,JR_West,34.691390000000006,135.18306
2,Sanyo,Okayama (岡山県),745.5,JR_West,34.66167,133.935
5,Sanyo,Hiroshima (広島県),836.38,JR_West,34.396390000000004,132.45944
5,Sanyo,Yamaguchi (山口県),1019.22,JR_West,34.18583,131.47139
5,Sanyo; Sanyo-Kyushu; Kyushu,Fukuoka (福岡県),1192.76,JR_West; JR_Kyushu,33.606390000000005,130.41806
3,Tohoku-Joetsu; Joetsu,Saitama (埼玉県),60.3333333333333,JR_East,35.85694,139.64889
3,Tohoku,Tochigi (栃木県),115.966666666667,JR_East,36.56583,139.88361
3,Tohoku; Tohoku-Yamagata,Fukushima (福島県),272.8,JR_East,37.75,140.46778
4,Tohoku,Miyagi (宮城県),367.45,JR_East,38.26889,140.87194
8,Tohoku; Tohoku-Akita; Akita,Iwate (岩手県),519.5875,JR_East,39.70361,141.1525
4,Tohoku; Tohoku-Hokkaido; Hokkaido,Aomori (青森県),691.45,JR_East; JR_Hokkaido,40.82444,140.74
3,Joetsu; Joetsu-Hokuriku; Hokuriku,Gunma (群馬県),126.7,JR_East,36.39111,139.06083
7,Joetsu; Hokuriku,Niigata (新潟県),275.314285714286,JR_East; JR_West,37.90222,139.02361000000002
10,Yamagata,Yamagata (山形県),363.37,JR_East,38.24056,140.36333
4,Akita,Akita (秋田県),610.75,JR_East,39.71861,140.1025
5,Hokuriku,Nagano (長野県),195.02,JR_East,36.65139,138.18111000000002
3,Hokuriku,Toyama (富山県),386.933333333333,JR_West,36.69528,137.21139
1,Hokuriku,Ishikawa (石川県),450.5,JR_West,36.594440000000006,136.62556
1,Kyushu,Saga (佐賀県),1203.5,JR_Kyushu,33.24944,130.29889
4,Kyushu,Kumamoto (熊本県),1313.45,JR_Kyushu,32.78972,130.74167
3,Kyushu,Kagoshima (鹿児島県),1422.16666666667,JR_Kyushu,31.56028,130.55806
2,Hokkaido,Hokkaido (北海道),844.75,JR_Hokkaido,43.06417,141.34694
