year,year_placeholder,shinkansen_line,no_station
1997,1997,Akita,5
1998,1998,Akita,5
1999,1999,Akita,5
2000,2000,Akita,5
2001,2001,Akita,5
2002,2002,Akita,5
2003,2003,Akita,5
2004,2004,Akita,5
2005,2005,Akita,5
2006,2006,Akita,5
2007,2007,Akita,5
2008,2008,Akita,5
2009,2009,Akita,5
2010,2010,Akita,5
2011,2011,Akita,5
2012,2012,Akita,5
2013,2013,Akita,5
2014,2014,Akita,5
2015,2015,Akita,5
2016,2016,Akita,5
2017,2017,Akita,5
2016,2016,Hokkaido,3
2017,2017,Hokkaido,3
1997,1997,Hokuriku,5
1998,1998,Hokuriku,5
1999,1999,Hokuriku,5
2000,2000,Hokuriku,5
2001,2001,Hokuriku,5
2002,2002,Hokuriku,5
2003,2003,Hokuriku,5
2004,2004,Hokuriku,5
2005,2005,Hokuriku,5
2006,2006,Hokuriku,5
2007,2007,Hokuriku,5
2008,2008,Hokuriku,5
2009,2009,Hokuriku,5
2010,2010,Hokuriku,5
2011,2011,Hokuriku,5
2012,2012,Hokuriku,5
2013,2013,Hokuriku,5
2014,2014,Hokuriku,5
2015,2015,Hokuriku,12
2016,2016,Hokuriku,12
2017,2017,Hokuriku,12
1982,1982,Joetsu,8
1983,1983,Joetsu,8
1984,1984,Joetsu,8
1985,1985,Joetsu,8
1986,1986,Joetsu,8
1987,1987,Joetsu,8
1988,1988,Joetsu,8
1989,1989,Joetsu,8
1990,1990,Joetsu,8
1991,1991,Joetsu,8
1992,1992,Joetsu,8
1993,1993,Joetsu,8
1994,1994,Joetsu,8
1995,1995,Joetsu,8
1996,1996,Joetsu,8
1997,1997,Joetsu,8
1998,1998,Joetsu,8
1999,1999,Joetsu,8
2000,2000,Joetsu,8
2001,2001,Joetsu,8
2002,2002,Joetsu,8
2003,2003,Joetsu,8
2004,2004,Joetsu,9
2005,2005,Joetsu,9
2006,2006,Joetsu,9
2007,2007,Joetsu,9
2008,2008,Joetsu,9
2009,2009,Joetsu,9
2010,2010,Joetsu,9
2011,2011,Joetsu,9
2012,2012,Joetsu,9
2013,2013,Joetsu,9
2014,2014,Joetsu,9
2015,2015,Joetsu,9
2016,2016,Joetsu,9
2017,2017,Joetsu,9
2004,2004,Kyushu,5
2005,2005,Kyushu,5
2006,2006,Kyushu,5
2007,2007,Kyushu,5
2008,2008,Kyushu,5
2009,2009,Kyushu,5
2010,2010,Kyushu,5
2011,2011,Kyushu,11
2012,2012,Kyushu,11
2013,2013,Kyushu,11
2014,2014,Kyushu,11
2015,2015,Kyushu,11
2016,2016,Kyushu,11
2017,2017,Kyushu,11
1972,1972,Sanyo,5
1973,1973,Sanyo,5
1974,1974,Sanyo,5
1975,1975,Sanyo,15
1976,1976,Sanyo,15
1977,1977,Sanyo,15
1978,1978,Sanyo,15
1979,1979,Sanyo,15
1980,1980,Sanyo,15
1981,1981,Sanyo,15
1982,1982,Sanyo,15
1983,1983,Sanyo,15
1984,1984,Sanyo,15
1985,1985,Sanyo,15
1986,1986,Sanyo,15
1987,1987,Sanyo,15
1988,1988,Sanyo,17
1989,1989,Sanyo,17
1990,1990,Sanyo,17
1991,1991,Sanyo,17
1992,1992,Sanyo,17
1993,1993,Sanyo,17
1994,1994,Sanyo,17
1995,1995,Sanyo,17
1996,1996,Sanyo,17
1997,1997,Sanyo,17
1998,1998,Sanyo,17
1999,1999,Sanyo,18
2000,2000,Sanyo,18
2001,2001,Sanyo,18
2002,2002,Sanyo,18
2003,2003,Sanyo,18
2004,2004,Sanyo,18
2005,2005,Sanyo,18
2006,2006,Sanyo,18
2007,2007,Sanyo,18
2008,2008,Sanyo,18
2009,2009,Sanyo,18
2010,2010,Sanyo,18
2011,2011,Sanyo,18
2012,2012,Sanyo,18
2013,2013,Sanyo,18
2014,2014,Sanyo,18
2015,2015,Sanyo,18
2016,2016,Sanyo,18
2017,2017,Sanyo,18
1982,1982,Tohoku,13
1983,1983,Tohoku,13
1984,1984,Tohoku,13
1985,1985,Tohoku,16
1986,1986,Tohoku,16
1987,1987,Tohoku,16
1988,1988,Tohoku,16
1989,1989,Tohoku,16
1990,1990,Tohoku,17
1991,1991,Tohoku,18
1992,1992,Tohoku,18
1993,1993,Tohoku,18
1994,1994,Tohoku,18
1995,1995,Tohoku,18
1996,1996,Tohoku,18
1997,1997,Tohoku,18
1998,1998,Tohoku,18
1999,1999,Tohoku,18
2000,2000,Tohoku,18
2001,2001,Tohoku,18
2002,2002,Tohoku,21
2003,2003,Tohoku,21
2004,2004,Tohoku,21
2005,2005,Tohoku,21
2006,2006,Tohoku,21
2007,2007,Tohoku,21
2008,2008,Tohoku,21
2009,2009,Tohoku,21
2010,2010,Tohoku,23
2011,2011,Tohoku,23
2012,2012,Tohoku,23
2013,2013,Tohoku,23
2014,2014,Tohoku,23
2015,2015,Tohoku,23
2016,2016,Tohoku,23
2017,2017,Tohoku,23
1964,1964,Tokaido,12
1965,1965,Tokaido,12
1966,1966,Tokaido,12
1967,1967,Tokaido,12
1968,1968,Tokaido,12
1969,1969,Tokaido,13
1970,1970,Tokaido,13
1971,1971,Tokaido,13
1972,1972,Tokaido,13
1973,1973,Tokaido,13
1974,1974,Tokaido,13
1975,1975,Tokaido,13
1976,1976,Tokaido,13
1977,1977,Tokaido,13
1978,1978,Tokaido,13
1979,1979,Tokaido,13
1980,1980,Tokaido,13
1981,1981,Tokaido,13
1982,1982,Tokaido,13
1983,1983,Tokaido,13
1984,1984,Tokaido,13
1985,1985,Tokaido,13
1986,1986,Tokaido,13
1987,1987,Tokaido,13
1988,1988,Tokaido,16
1989,1989,Tokaido,16
1990,1990,Tokaido,16
1991,1991,Tokaido,16
1992,1992,Tokaido,16
1993,1993,Tokaido,16
1994,1994,Tokaido,16
1995,1995,Tokaido,16
1996,1996,Tokaido,16
1997,1997,Tokaido,16
1998,1998,Tokaido,16
1999,1999,Tokaido,16
2000,2000,Tokaido,16
2001,2001,Tokaido,16
2002,2002,Tokaido,16
2003,2003,Tokaido,17
2004,2004,Tokaido,17
2005,2005,Tokaido,17
2006,2006,Tokaido,17
2007,2007,Tokaido,17
2008,2008,Tokaido,17
2009,2009,Tokaido,17
2010,2010,Tokaido,17
2011,2011,Tokaido,17
2012,2012,Tokaido,17
2013,2013,Tokaido,17
2014,2014,Tokaido,17
2015,2015,Tokaido,17
2016,2016,Tokaido,17
2017,2017,Tokaido,17
1992,1992,Yamagata,5
1993,1993,Yamagata,5
1994,1994,Yamagata,5
1995,1995,Yamagata,5
1996,1996,Yamagata,5
1997,1997,Yamagata,5
1998,1998,Yamagata,5
1999,1999,Yamagata,10
2000,2000,Yamagata,10
2001,2001,Yamagata,10
2002,2002,Yamagata,10
2003,2003,Yamagata,10
2004,2004,Yamagata,10
2005,2005,Yamagata,10
2006,2006,Yamagata,10
2007,2007,Yamagata,10
2008,2008,Yamagata,10
2009,2009,Yamagata,10
2010,2010,Yamagata,10
2011,2011,Yamagata,10
2012,2012,Yamagata,10
2013,2013,Yamagata,10
2014,2014,Yamagata,10
2015,2015,Yamagata,10
2016,2016,Yamagata,10
2017,2017,Yamagata,10
